attack,reconstruction_error_l0,reconstruction_error_l1,reconstruction_error_l2,reconstruction_error_linf,accuracy_without_defense,accuracy_with_defense
Attack-0,0.99999987,0.01330747999999997,0.001726090000000005,0.37517808,0.988,0.9882
Attack-1,0.99999961,0.017479270000000043,0.0018133000000000044,0.37661678999999904,0.9805,0.9826
Attack-2,1.0,0.05010555000000023,0.006152450000000067,0.46540137999999887,0.7017,0.7817
Attack-3,0.99999987,0.013307699999999971,0.0017261400000000056,0.37517653000000034,0.988,0.9882
Attack-4,1.0,0.014219759999999956,0.0017309000000000016,0.37455369999999966,0.9846,0.9856
Attack-5,1.0,0.01955403000000017,0.0019896799999999837,0.38194110000000026,0.9507,0.9665
Attack-6,0.99999987,0.013692130000000068,0.001711779999999998,0.3733554500000009,0.9873,0.9865
Attack-7,1.0,0.013765440000000047,0.0017174500000000008,0.37385823999999984,0.9869,0.9866
