attack,reconstruction_error_l0,reconstruction_error_l1,reconstruction_error_l2,reconstruction_error_linf,accuracy_without_defense,accuracy_with_defense
Attack-0,0.99999974,0.031180829999999993,0.0034970000000000027,0.34536055000000154,0.8925,0.8897
Attack-1,1.0,0.032953079999999954,0.003495919999999993,0.3440886600000008,0.7796,0.8019
Attack-2,0.99999987,0.047305400000000074,0.004915710000000028,0.3590518300000007,0.1825,0.1996
Attack-3,0.99999974,0.031180849999999965,0.0034969900000000023,0.34535960000000143,0.8924,0.8896
Attack-4,0.99999974,0.031424680000000094,0.0034880399999999965,0.34491553999999885,0.8501,0.8594
Attack-5,0.99999987,0.033851559999999975,0.003565709999999995,0.3450804600000009,0.5874,0.6695
Attack-6,1.0,0.03133199000000005,0.0034885600000000025,0.3448932299999996,0.8818,0.8741
Attack-7,0.99999974,0.03137281000000002,0.003491120000000003,0.3450403800000004,0.8718,0.8721
