attack,reconstruction_error_l0,reconstruction_error_l1,reconstruction_error_l2,reconstruction_error_linf,accuracy_without_defense,accuracy_with_defense
Attack-0,0.99999951,0.03133369999999995,0.0017786200000000363,0.13583517000000073,0.7454,0.6894
Attack-1,0.9999995800000002,0.031687530000000054,0.00180830000000003,0.13847129000000008,0.0865,0.1577
Attack-2,0.9999997000000003,0.05231617000000009,0.004433429999999977,0.22494953999999992,0.0381,0.0526
Attack-3,0.99999951,0.03133369999999995,0.0017786200000000363,0.13583516000000073,0.7454,0.6894
Attack-4,0.99999961,0.03134356999999993,0.0017792700000000348,0.13592495000000085,0.43,0.5241
Attack-5,0.9999994900000003,0.03154867999999981,0.001795680000000031,0.13752901000000087,0.0199,0.08
Attack-6,0.9999995800000002,0.03133614999999993,0.0017787300000000365,0.13586120000000063,0.7435,0.635
Attack-7,0.9999994900000003,0.031336099999999936,0.0017787700000000367,0.13587142000000016,0.7101,0.6297
